a[27],b[18],c[48],result[27]
1c50000,341c0,0000190e7efa,7f579fd
5b68000,3b5c0,0000190e7efa,0054dc2
07d0000,32b40,0000190e7efa,7fcc029
1548000,2f280,0000190e7efa,7f4cb91
4890000,32700,0000190e7efa,0177e2f
4978000,39bc0,0000190e7efa,00aac98
59d8000,12840,0000190e7efa,7e9eb52
1520000,15700,0000190e7efa,00e2627
5238000,32d00,0000190e7efa,012dd23
2058000,286c0,0000190e7efa,7e82a60
7370000,09240,0000190e7efa,7fc6895
57f0000,02540,0000190e7efa,7fd150d
1110000,31880,0000190e7efa,7f8483b
3490000,3ee00,0000190e7efa,7fe2627
54d0000,27e00,0000190e7efa,0208e67
3d50000,2f340,0000190e7efa,7dfd059
0050000,14300,0000190e7efa,00031af
4590000,12480,0000190e7efa,7de9cbb
1fa0000,357c0,0000190e7efa,7f59ac3
3e50000,0e1c0,0000190e7efa,01b78bd
51d8000,20780,0000190e7efa,02d7a21
1fc8000,1c840,0000190e7efa,01c5150
2f70000,18640,0000190e7efa,0242775
20d8000,24700,0000190e7efa,7e3b52b
1e88000,23040,0000190e7efa,7e457c8
2af0000,27a00,0000190e7efa,7df4a67
58e0000,30400,0000190e7efa,01340f7
4f68000,0d240,0000190e7efa,7ec0acc
1b38000,3fe00,0000190e7efa,7ffe3ff
4310000,06880,0000190e7efa,7f38f3b
54d0000,1c6c0,0000190e7efa,7d9a375
5908000,18340,0000190e7efa,7e285e4
5068000,0d0c0,0000190e7efa,7ec979e
5658000,3f380,0000190e7efa,0010391
3240000,3c080,0000190e7efa,7f9c3c7
0aa0000,24100,0000190e7efa,7f6b887
5568000,0afc0,0000190e7efa,7f1604a
0338000,14100,0000190e7efa,00203d3
1ba8000,3a480,0000190e7efa,7fb0df1
5160000,32e00,0000190e7efa,0131ed7
1bf0000,30c40,0000190e7efa,7f2b255
5f10000,25d00,0000190e7efa,01af39f
59a8000,3d000,0000190e7efa,0039777
5b10000,30300,0000190e7efa,0123fcf
7cf0000,23380,0000190e7efa,002c05b
1ae8000,14940,0000190e7efa,0114ca8
3f80000,28b80,0000190e7efa,7d1cc57
7460000,00f80,0000190e7efa,7ffa51f
3708000,09a80,0000190e7efa,0109a61
2c48000,28780,0000190e7efa,7df6f45
26d0000,3ed40,0000190e7efa,7fe9359
28b0000,05ac0,0000190e7efa,0073569
6ed0000,29f00,0000190e7efa,00bd8cf
2108000,10400,0000190e7efa,010c547
0538000,03680,0000190e7efa,0008d6d
4fb8000,1a900,0000190e7efa,7d7eb73
1298000,2c940,0000190e7efa,7f4b636
5a48000,15880,0000190e7efa,7e69e29
6e90000,2f040,0000190e7efa,0094089
6920000,33740,0000190e7efa,008f74b
0608000,09140,0000190e7efa,001b53c
3dc8000,3ea80,0000190e7efa,7fd6711
7ab8000,06640,0000190e7efa,7fef136
09f0000,0e240,0000190e7efa,0046365
3568000,20380,0000190e7efa,7caf4ad
6478000,25440,0000190e7efa,016ff76
5978000,26500,0000190e7efa,01eed63
3e58000,3ca00,0000190e7efa,7f96bef
0028000,3ac40,0000190e7efa,7fff8ac
31e0000,0dd40,0000190e7efa,0158ca3
4008000,1d400,0000190e7efa,7c58687
3790000,1a940,0000190e7efa,02e2531
32a0000,216c0,0000190e7efa,7cf9f13
2f90000,150c0,0000190e7efa,01f478d
5550000,23640,0000190e7efa,0262951
6be8000,1d180,0000190e7efa,7edba65
5118000,26800,0000190e7efa,0256017
11f8000,19f40,0000190e7efa,00e91fa
6c08000,251c0,0000190e7efa,010c6fe
2fd8000,25d00,0000190e7efa,7d8d7f3
0758000,2f480,0000190e7efa,7fc28fd
4d58000,1ae00,0000190e7efa,7d5741f
38a8000,2a900,0000190e7efa,7da0aab
0c30000,3fb80,0000190e7efa,7ffe3cb
7cb0000,26600,0000190e7efa,002a647
4648000,1e800,0000190e7efa,7c8fbd7
6668000,35f40,0000190e7efa,0080850
4830000,226c0,0000190e7efa,03395d9
2248000,30780,0000190e7efa,7ef5bc5
4348000,2f940,0000190e7efa,01f2824
4518000,2ba40,0000190e7efa,0257992
5a60000,1f600,0000190e7efa,7db1b57
67b8000,23b00,0000190e7efa,0157aeb
7260000,3b300,0000190e7efa,0020bc7
33a8000,25080,0000190e7efa,7d47661
1d38000,3b100,0000190e7efa,7fb7d13
4b80000,191c0,0000190e7efa,7d6cd47
1bd0000,1b480,0000190e7efa,017b54b
1198000,08680,0000190e7efa,0049e65
63b8000,3a640,0000190e7efa,004f456
2848000,0ef40,0000190e7efa,012d1dc
2510000,39800,0000190e7efa,7f877f7
3c08000,12940,0000190e7efa,022d95c
7748000,01680,0000190e7efa,7ff9d21
3c98000,3b640,0000190e7efa,7f744d2
27d8000,17480,0000190e7efa,01cfc1d
30a0000,01780,0000190e7efa,0023a8f
18f0000,2b600,0000190e7efa,7efec87
6a60000,01dc0,0000190e7efa,7febd8b
3c38000,28680,0000190e7efa,7d398ed
1250000,214c0,0000190e7efa,7ee6d35
52b0000,33900,0000190e7efa,0119bcf
6c18000,25a00,0000190e7efa,010676f
6868000,2cb00,0000190e7efa,00e3c73
6380000,0fe80,0000190e7efa,7f1d497
5128000,15600,0000190e7efa,7e0b4ef
5d40000,39e00,0000190e7efa,006a5f7
02d0000,31d00,0000190e7efa,7febfff
36e8000,1a2c0,0000190e7efa,02ce736
0ac8000,22100,0000190e7efa,7f5e91b
0340000,1f700,0000190e7efa,0033097
3278000,14e80,0000190e7efa,020f81d
66f0000,2e3c0,0000190e7efa,00de939
65f0000,3efc0,0000190e7efa,000d2f9
2978000,17480,0000190e7efa,01e2ac5
34c0000,2ffc0,0000190e7efa,7e5989f
7590000,10340,0000190e7efa,7fab641
6f68000,06ac0,0000190e7efa,7fc8986
3da0000,26140,0000190e7efa,7ce13bb
3b00000,19bc0,0000190e7efa,02f71d7
2bf8000,03940,0000190e7efa,004e9d2
02f8000,10d80,0000190e7efa,0018f41
6890000,36cc0,0000190e7efa,006bccd
63c0000,01c40,0000190e7efa,7fe702f
0ac0000,28340,0000190e7efa,7f800af
4808000,13940,0000190e7efa,7ddc11c
44b0000,1c740,0000190e7efa,7cb4235
46b8000,2b9c0,0000190e7efa,0247f38
60a8000,01440,0000190e7efa,7fec1dc
35a0000,1f7c0,0000190e7efa,034c203
2d10000,23a80,0000190e7efa,7d8154b
4428000,12080,0000190e7efa,7de46c1
5c10000,1ea00,0000190e7efa,7dd9a87
3a70000,13840,0000190e7efa,023a2c5
4fd0000,3f200,0000190e7efa,0015087
65f0000,2d780,0000190e7efa,00f16fb
1950000,2b580,0000190e7efa,7efa853
5f28000,2f100,0000190e7efa,011618b
2f60000,121c0,0000190e7efa,01aceab
0a20000,0ad80,0000190e7efa,0036d8f
37b8000,12340,0000190e7efa,01fb142
12e8000,38ac0,0000190e7efa,7fbaad6
15b0000,1f9c0,0000190e7efa,0156b71
7368000,1e4c0,0000190e7efa,7f412ce
6430000,37500,0000190e7efa,0078c2f
25a0000,2d940,0000190e7efa,7ea563b
63c0000,26180,0000190e7efa,016de07
2c70000,1c380,0000190e7efa,0272efb
2a58000,117c0,0000190e7efa,017220c
6878000,12a40,0000190e7efa,7f24a1e
1fc0000,169c0,0000190e7efa,0166dff
3520000,00bc0,0000190e7efa,0013753
6990000,33480,0000190e7efa,008ea3b
4ee0000,02780,0000190e7efa,7fc34ff
1110000,2bc80,0000190e7efa,7f5375b
27d8000,39d00,0000190e7efa,7f84af3
7ba0000,27d00,0000190e7efa,0034dc7
37c8000,08cc0,0000190e7efa,00f54d2
1bf0000,1cc80,0000190e7efa,0191fd3
5518000,1db00,0000190e7efa,7d830fb
0290000,1a180,0000190e7efa,0021623
4d08000,3ba80,0000190e7efa,006ea61
28c8000,35cc0,0000190e7efa,7f2fe72
75d8000,1e540,0000190e7efa,7f65f0e
2ff0000,2ef40,0000190e7efa,7e675bd
6538000,07d80,0000190e7efa,7f96eb1
5988000,3d440,0000190e7efa,00348b8
4a88000,30800,0000190e7efa,019e557
31a8000,19ac0,0000190e7efa,027d55e
1bc0000,3a5c0,0000190e7efa,7fb1aff
7c58000,1bc80,0000190e7efa,7fcd29d
7660000,080c0,0000190e7efa,7fd939b
5960000,01600,0000190e7efa,7fe5657
5778000,32280,0000190e7efa,011880d
0688000,1dc80,0000190e7efa,0061349
5ba0000,25600,0000190e7efa,01e4317
2f48000,2aa40,0000190e7efa,7e07008
5348000,39280,0000190e7efa,0098f91
3408000,040c0,0000190e7efa,00693ba
3620000,1c200,0000190e7efa,02f9157
2240000,0f980,0000190e7efa,010afe7
5d88000,27600,0000190e7efa,01a858f
7de0000,3ff00,0000190e7efa,0000047
0118000,1f780,0000190e7efa,0011291
2c40000,061c0,0000190e7efa,00871ef
3d80000,3f780,0000190e7efa,7fef9d7
0700000,26fc0,0000190e7efa,7fa8657
4ab0000,042c0,0000190e7efa,7f90be9
3ff0000,2b340,0000190e7efa,7d6719d
5580000,1adc0,0000190e7efa,7dc5307
4308000,12f00,0000190e7efa,7dbea73
4150000,0a280,0000190e7efa,7ec19db
1660000,0a0c0,0000190e7efa,007059b
5cb0000,0bb40,0000190e7efa,7f31515
4fd8000,2b740,0000190e7efa,01eeae6
7cf0000,0b2c0,0000190e7efa,7feed81
36c8000,0e2c0,0000190e7efa,018420a
7440000,0ed40,0000190e7efa,7fa8d5f
3f40000,367c0,0000190e7efa,7ed304f
49f0000,1ea40,0000190e7efa,7cc3b25
57f0000,26640,0000190e7efa,0200f05
58e0000,1fbc0,0000190e7efa,7d9325b
55f8000,01ac0,0000190e7efa,7fdcd0c
4dc8000,23c00,0000190e7efa,02c54a7
2d98000,17900,0000190e7efa,02191a3
0b58000,31c40,0000190e7efa,7faf372
7b30000,3f740,0000190e7efa,0001445
73e8000,3dc80,0000190e7efa,000d5e1
3858000,0ec40,0000190e7efa,019fed2
7578000,3c0c0,0000190e7efa,0014c44
6a10000,28900,0000190e7efa,010107f
1530000,2b800,0000190e7efa,7f26c77
1ac0000,3f840,0000190e7efa,7ff978f
4850000,3c980,0000190e7efa,005ecb3
3468000,25900,0000190e7efa,7d4b34b
0450000,0f880,0000190e7efa,002170b
5b38000,2f140,0000190e7efa,013727a
4df0000,139c0,0000190e7efa,7e151a9
1de8000,07e80,0000190e7efa,00762c9
1978000,14380,0000190e7efa,01016c9
42f8000,33900,0000190e7efa,017b7d3
2b50000,187c0,0000190e7efa,021230d
5328000,286c0,0000190e7efa,02109de
53c8000,3b580,0000190e7efa,0066e5d
16f8000,0c280,0000190e7efa,008b8ed
0690000,278c0,0000190e7efa,7fafb6d
3578000,13580,0000190e7efa,0205181
2138000,36c40,0000190e7efa,7f6692e
2440000,016c0,0000190e7efa,0019b8f
3f50000,028c0,0000190e7efa,0050935
5a38000,264c0,0000190e7efa,01e57fc
37a0000,064c0,0000190e7efa,00af153
2490000,152c0,0000190e7efa,0182ffd
6508000,1adc0,0000190e7efa,7e95c4e
2640000,3e580,0000190e7efa,7fe0467
2810000,10600,0000190e7efa,0147f67
0128000,39a80,0000190e7efa,7ffc489
1a90000,18280,0000190e7efa,0140c6b
7018000,31c80,0000190e7efa,007108d
2120000,30bc0,0000190e7efa,7f031d3
2308000,29ec0,0000190e7efa,7e7d3d2
02c0000,17b40,0000190e7efa,00208af
40a8000,13d00,0000190e7efa,7d8c73b
7380000,0fa80,0000190e7efa,7f9e197
7488000,22280,0000190e7efa,00ab161
2d68000,03c00,0000190e7efa,0055167
4180000,1c440,0000190e7efa,7c8ca67
1948000,33d80,0000190e7efa,7f6649d
0060000,07000,0000190e7efa,0001437
5940000,12900,0000190e7efa,7e984d7
12c0000,0a540,0000190e7efa,0060c6f
5ae0000,21640,0000190e7efa,0238233
2440000,0cac0,0000190e7efa,00e5a0f
07c0000,07440,0000190e7efa,001c1af
2198000,01e40,0000190e7efa,001fb52
6b58000,150c0,0000190e7efa,7f26938
1d88000,27540,0000190e7efa,7e93a7c
0578000,23140,0000190e7efa,7fb0de2
3fa8000,12f40,0000190e7efa,025b318
6b70000,0fa00,0000190e7efa,7f5f4e7
7958000,33280,0000190e7efa,002ab25
33c0000,04b80,0000190e7efa,007a0c7
2f40000,354c0,0000190e7efa,7f0316f
5bf8000,3e180,0000190e7efa,00224b1
63d0000,0f500,0000190e7efa,7f2823f
2258000,3eb00,0000190e7efa,7fe969b
2ac0000,3a680,0000190e7efa,7f88627
0e88000,2e5c0,0000190e7efa,7f7fc7e
1908000,0bb00,0000190e7efa,00923a3
0508000,00740,0000190e7efa,0001174
2e60000,33680,0000190e7efa,7edbeef
2918000,15000,0000190e7efa,01af6f7
35c0000,03780,0000190e7efa,005d2c7
5cb8000,1c180,0000190e7efa,7e105c1
0b00000,20500,0000190e7efa,7f51ab7
2108000,1bf40,0000190e7efa,01cd9d4
10b8000,2ec00,0000190e7efa,7f6fc07
5570000,00900,0000190e7efa,7ff3faf
6660000,23580,0000190e7efa,016f1bf
13c8000,2ca40,0000190e7efa,7f40798
5290000,25c80,0000190e7efa,02539bb
67d8000,1fe80,0000190e7efa,7e7e955
1488000,1a280,0000190e7efa,010c761
7150000,1b180,0000190e7efa,7f38fb3
01c8000,03f80,0000190e7efa,00037c5
1998000,22c40,0000190e7efa,7e89d7a
4170000,2a080,0000190e7efa,02af293
23b8000,16a40,0000190e7efa,01944c6
5a50000,0ff00,0000190e7efa,7ed3a0f
7fb8000,07080,0000190e7efa,7ffef65
7808000,35700,0000190e7efa,002a093
2760000,1bf40,0000190e7efa,0226473
36e8000,3db00,0000190e7efa,7fc0773
62e0000,2a940,0000190e7efa,0137e83
24f8000,3ad40,0000190e7efa,7fa05a2
4228000,38140,0000190e7efa,00f4e90
6520000,32c80,0000190e7efa,00b193f
1790000,32bc0,0000190e7efa,7f63aa5
4b60000,16640,0000190e7efa,7db2cc3
67e0000,38440,0000190e7efa,005d3f3
3520000,38680,0000190e7efa,7f363df
55e0000,23e40,0000190e7efa,0250013
0ab0000,39900,0000190e7efa,7fdd8cf
1ef0000,1ea00,0000190e7efa,01d9ae7
10b8000,32f80,0000190e7efa,7f93049
6990000,0d340,0000190e7efa,7f6bd41
7ee8000,0d3c0,0000190e7efa,7ff8b6a
31d8000,28cc0,0000190e7efa,7dbdaf8
73e0000,25780,0000190e7efa,00a0cbf
64a8000,1f680,0000190e7efa,7e52919
4eb8000,37c00,0000190e7efa,00cb3c7
2a98000,26140,0000190e7efa,7dd7e56
56d0000,17600,0000190e7efa,7e1e927
4190000,20c00,0000190e7efa,03cf897
4af0000,3ec80,0000190e7efa,0020493
3b28000,04bc0,0000190e7efa,008bfc2
0328000,2a280,0000190e7efa,7fdd7a9
4458000,36b40,0000190e7efa,0115426
5b18000,17500,0000190e7efa,7e51c33
4278000,2b280,0000190e7efa,028138d
7c78000,0b8c0,0000190e7efa,7feb904
0008000,24600,0000190e7efa,7fff84f
7f48000,03980,0000190e7efa,7ffea8d
05a8000,3b440,0000190e7efa,7ff28fc
5388000,305c0,0000190e7efa,015bb5e
7ad8000,1e800,0000190e7efa,7fb1517
5ff8000,2afc0,0000190e7efa,0150878
3070000,03c00,0000190e7efa,005ac57
1e28000,0dd40,0000190e7efa,00d0740
7a50000,21100,0000190e7efa,0057edf
2028000,0bb80,0000190e7efa,00bc5dd
44c8000,16400,0000190e7efa,7d6d247
4180000,10900,0000190e7efa,7dfa5f7
7440000,07f40,0000190e7efa,7fd139f
4488000,2a480,0000190e7efa,0285be9
6aa0000,10180,0000190e7efa,7f53f2f
7778000,256c0,0000190e7efa,007152c
40c8000,37a00,0000190e7efa,0108adf
21a8000,3a300,0000190e7efa,7f9e233
4020000,2ad00,0000190e7efa,02a4a07
4d28000,13740,0000190e7efa,7e116a8
29c0000,3c700,0000190e7efa,7fb5957
3e70000,0cd80,0000190e7efa,0190eab
7360000,0ca80,0000190e7efa,7fb00ef
5df0000,31480,0000190e7efa,00faa13
49b0000,372c0,0000190e7efa,00efb09
50e8000,37400,0000190e7efa,00cdfc7
2718000,2b340,0000190e7efa,7e696fe
4f48000,3a680,0000190e7efa,0088361
65c8000,18b00,0000190e7efa,7ebc503
33c8000,0a140,0000190e7efa,0104e14
4358000,3d540,0000190e7efa,0050fbe
7640000,1b1c0,0000190e7efa,7f7bcaf
19e8000,24ac0,0000190e7efa,7e9df76
0ce8000,28c80,0000190e7efa,7f6a1e1
71e0000,04e40,0000190e7efa,7fdd693
0c60000,05880,0000190e7efa,00222cf
43e0000,28940,0000190e7efa,02c0123
66a8000,06480,0000190e7efa,7fb05b1
75a0000,02c40,0000190e7efa,7ff19ab
7050000,3d340,0000190e7efa,0015e39
64e0000,32dc0,0000190e7efa,00b22bb
2e08000,3ff00,0000190e7efa,7ffe833
63a0000,06f80,0000190e7efa,7f9d14f
4370000,0a940,0000190e7efa,7ebfa1d
4bf0000,38c80,0000190e7efa,00bbdd3
3b18000,242c0,0000190e7efa,7cc9b78
4230000,1acc0,0000190e7efa,7cc3c29
2008000,0f040,0000190e7efa,00f06f8
6a00000,19980,0000190e7efa,7ee66b7
78d8000,1d340,0000190e7efa,7f97756
6740000,1f540,0000190e7efa,7e7c43f
7f80000,24440,0000190e7efa,0006e27
3070000,39c00,0000190e7efa,7f68957
5cc0000,273c0,0000190e7efa,01b471f
2820000,09700,0000190e7efa,00bd4a7
2e70000,05bc0,0000190e7efa,0085189
27a8000,12880,0000190e7efa,016f641
0660000,30580,0000190e7efa,7fce0bf
5900000,34600,0000190e7efa,00e2a37
51d8000,0f5c0,0000190e7efa,7e9d7c4
4070000,32c80,0000190e7efa,01a40f3
7ab0000,05880,0000190e7efa,7ff1423
41d0000,0d480,0000190e7efa,7e62fcb
7990000,03f80,0000190e7efa,7ff32d3
1098000,02b40,0000190e7efa,001660e
10b8000,0fdc0,0000190e7efa,0084868
46e0000,36cc0,0000190e7efa,0106d0b
3d98000,08bc0,0000190e7efa,010cf14
6040000,0f180,0000190e7efa,7f10567
7258000,19040,0000190e7efa,7f55242
21e8000,23400,0000190e7efa,7e188c7
0668000,09880,0000190e7efa,001e7b1
3c78000,237c0,0000190e7efa,7ca1cc8
6340000,23c00,0000190e7efa,01960b7
0428000,01c40,0000190e7efa,00039ec
43b8000,0d2c0,0000190e7efa,7e72f14
1210000,2fd80,0000190e7efa,7f6e0a3
74e8000,02440,0000190e7efa,7ff3624
7a48000,26480,0000190e7efa,00497d9
2a70000,1ca40,0000190e7efa,025fab5
3808000,1f840,0000190e7efa,0372e18
1a00000,09a00,0000190e7efa,007d137
1e38000,27c40,0000190e7efa,7e91c8e
3920000,17940,0000190e7efa,02a166b
21b0000,08dc0,0000190e7efa,00952d1
4680000,179c0,0000190e7efa,7d592e7
5800000,195c0,0000190e7efa,7e04c37
1e38000,30f80,0000190e7efa,7f1cd69
5e78000,34f40,0000190e7efa,00b928a
6760000,10400,0000190e7efa,7f37df7
6780000,12480,0000190e7efa,7f20017
14c8000,1a0c0,0000190e7efa,010e982
7a28000,32c80,0000190e7efa,0026931
40b0000,290c0,0000190e7efa,02d68f9
1dd0000,0da00,0000190e7efa,00cb0c7
7838000,03340,0000190e7efa,7ff37d2
4700000,226c0,0000190e7efa,034aed7
7ff8000,23dc0,0000190e7efa,0000640
32f8000,32b80,0000190e7efa,7ead7c9
60d0000,32180,0000190e7efa,00d8cd3
0f50000,3b2c0,0000190e7efa,7fdafc5
29b8000,3b780,0000190e7efa,7fa16e9
1600000,3fb40,0000190e7efa,7ffcaf7
3b60000,3ee00,0000190e7efa,7fde8d7
70c8000,09c40,0000190e7efa,7fb5a40
0ca0000,0db40,0000190e7efa,005673b
5c90000,3bf80,0000190e7efa,0047613
21d8000,354c0,0000190e7efa,7f4ad58
40c8000,23c40,0000190e7efa,037c6c0
2f40000,0ff00,0000190e7efa,0178797
0188000,2c740,0000190e7efa,7ff0fc4
7208000,0dcc0,0000190e7efa,7f9f96a
3b18000,28600,0000190e7efa,7d45e7f
6a20000,1ef00,0000190e7efa,7ead927
55c8000,35880,0000190e7efa,00dcf09
7788000,00c80,0000190e7efa,7ffca49
5190000,00a40,0000190e7efa,7ff1139
1800000,14740,0000190e7efa,00f5637
77d8000,39800,0000190e7efa,001a757
7a00000,10e40,0000190e7efa,7fcd477
69b0000,1ca00,0000190e7efa,7ec09a7
2d70000,19f00,0000190e7efa,024d37f
2718000,02440,0000190e7efa,002c3ca
3fd8000,2ae80,0000190e7efa,7d5e995
61a8000,0f5c0,0000190e7efa,7f16eba
0218000,21940,0000190e7efa,7fe01a6
3ac8000,22d80,0000190e7efa,7ca707d
64b8000,2a700,0000190e7efa,012613b
